"","car_specs","price","mileage","stringAsFactors"
"84","2024 Nissan Armada SL  - Sunroof -  Navigation - $531 B/W SL - Sunroo","$76,343",NA,FALSE
"85","2024 Kia Forte LX IVT","$24,436",NA,FALSE
"86","2024 Nissan Kicks S  - Apple CarPlay -  Android Auto - $160 B/W S -","$24,478",NA,FALSE
"87","2024 Nissan Kicks S  - Apple CarPlay -  Android Auto - $160 B/W S -","$24,478",NA,FALSE
"88","2024 Nissan Kicks S  - Apple CarPlay -  Android Auto - $160 B/W S -","$24,478",NA,FALSE
"89","2024 Nissan Kicks S  - Apple CarPlay -  Android Auto - $160 B/W S -","$24,478",NA,FALSE
"90","2024 Nissan Kicks S","$24,478",NA,FALSE
"91","2024 Nissan Kicks S","$24,478",NA,FALSE
"92","2024 Nissan Kicks S","$24,478",NA,FALSE
"93","2024 Nissan Kicks S","$24,478",NA,FALSE
"94","2024 Jeep Wrangler SAHARAH | BRAND NEW | AUTO | STEPS | LED LIGHTS","$54,359",NA,FALSE
"95","2024 Nissan Kicks S","$24,478",NA,FALSE
"96","2024 Nissan Kicks S","$24,478",NA,FALSE
"97","2024 Nissan Kicks S","$24,478",NA,FALSE
"98","2024 Nissan Kicks S  - Apple CarPlay -  Android Auto - $160 B/W S -","$24,478",NA,FALSE
"99","2024 Nissan Versa SV CVT","$24,610",NA,FALSE
"100","2024 Nissan Kicks S FWD","$24,628",NA,FALSE
"101","2024 Nissan Kicks S FWD","$24,628",NA,FALSE
"102","2024 Nissan Kicks S FWD","$24,628",NA,FALSE
"103","2024 Nissan Kicks S FWD","$24,628",NA,FALSE
"104","2024 Jeep Wrangler RUBICON X 4DR | 35"" Tire & Wheel Pkg | PINK!","$70,995",NA,FALSE
"105","2024 Nissan Kicks S FWD","$24,628",NA,FALSE
"106","2024 Nissan Kicks S FWD","$24,628",NA,FALSE
"107","2024 Kia Forte EX | Blindspot Alert | Lane Assist | Android Auto","$24,645",NA,FALSE
"108","2024 Nissan Kicks S FWD","$24,646",NA,FALSE
